accession	reference	antibiotic	mic	mic_numeric
SRR1661153	Demczuk2015	azithromycin	0.5	0.5
SRR1661153	Demczuk2015	cefixime	0.063	0.063
SRR1661153	Demczuk2015	ceftriaxone	0.125	0.125
SRR1661153	Demczuk2015	ciprofloxacin	0.016	0.016
SRR1661153	Demczuk2015	penicillin	4	4
SRR1661153	Demczuk2015	spectinomycin	16	16
SRR1661153	Demczuk2015	tetracycline	2	2
SRR1661154	Demczuk2015	azithromycin	0.25	0.25
SRR1661154	Demczuk2015	cefixime	0.125	0.125
SRR1661154	Demczuk2015	ceftriaxone	0.125	0.125
SRR1661154	Demczuk2015	ciprofloxacin	0.5	0.5
SRR1661154	Demczuk2015	penicillin	2	2
SRR1661154	Demczuk2015	spectinomycin	32	32
SRR1661154	Demczuk2015	tetracycline	2	2
SRR1661155	Demczuk2015	azithromycin	1	1
SRR1661155	Demczuk2015	cefixime	0.125	0.125
SRR1661155	Demczuk2015	ceftriaxone	0.25	0.25
SRR1661155	Demczuk2015	ciprofloxacin	0.016	0.016
SRR1661155	Demczuk2015	penicillin	2	2
SRR1661155	Demczuk2015	spectinomycin	64	64
SRR1661155	Demczuk2015	tetracycline	4	4
SRR1661156	Demczuk2015	azithromycin	0.25	0.25
SRR1661156	Demczuk2015	cefixime	0.063	0.063
SRR1661156	Demczuk2015	ceftriaxone	0.125	0.125
SRR1661156	Demczuk2015	ciprofloxacin	16	16
SRR1661156	Demczuk2015	penicillin	2	2
SRR1661156	Demczuk2015	spectinomycin	16	16
SRR1661156	Demczuk2015	tetracycline	2	2
SRR1661158	Demczuk2015	azithromycin	0.25	0.25
SRR1661158	Demczuk2015	cefixime	0.25	0.25
SRR1661158	Demczuk2015	ceftriaxone	0.125	0.125
SRR1661158	Demczuk2015	ciprofloxacin	0.5	0.5
SRR1661158	Demczuk2015	penicillin	4	4
SRR1661158	Demczuk2015	spectinomycin	16	16
SRR1661158	Demczuk2015	tetracycline	4	4
SRR1661159	Demczuk2015	azithromycin	0.063	0.063
SRR1661159	Demczuk2015	cefixime	0.001	0.001
SRR1661159	Demczuk2015	ceftriaxone	0.00025	2.5e-4
SRR1661159	Demczuk2015	ciprofloxacin	0.063	0.063
SRR1661159	Demczuk2015	penicillin	0.008	0.008
SRR1661159	Demczuk2015	spectinomycin	16	16
SRR1661159	Demczuk2015	tetracycline	0.5	0.5
SRR1661160	Demczuk2015	azithromycin	0.125	0.125
SRR1661160	Demczuk2015	cefixime	0.004	0.004
SRR1661160	Demczuk2015	ceftriaxone	0.002	0.002
SRR1661160	Demczuk2015	ciprofloxacin	0.004	0.004
SRR1661160	Demczuk2015	penicillin	0.063	0.063
SRR1661160	Demczuk2015	spectinomycin	16	16
SRR1661160	Demczuk2015	tetracycline	1	1
SRR1661161	Demczuk2015	azithromycin	0.5	0.5
SRR1661161	Demczuk2015	cefixime	0.25	0.25
SRR1661161	Demczuk2015	ceftriaxone	0.125	0.125
SRR1661161	Demczuk2015	ciprofloxacin	16	16
SRR1661161	Demczuk2015	penicillin	4	4
SRR1661161	Demczuk2015	spectinomycin	16	16
SRR1661161	Demczuk2015	tetracycline	4	4
SRR1661162	Demczuk2015	azithromycin	0.063	0.063
SRR1661162	Demczuk2015	cefixime	0.008	0.008
SRR1661162	Demczuk2015	ceftriaxone	0.004	0.004
SRR1661162	Demczuk2015	ciprofloxacin	0.004	0.004
SRR1661162	Demczuk2015	penicillin	0.063	0.063
SRR1661162	Demczuk2015	spectinomycin	16	16
SRR1661162	Demczuk2015	tetracycline	0.125	0.125
SRR1661163	Demczuk2015	azithromycin	0.5	0.5
SRR1661163	Demczuk2015	cefixime	0.032	0.032
SRR1661163	Demczuk2015	ceftriaxone	0.125	0.125
SRR1661163	Demczuk2015	ciprofloxacin	0.032	0.032
SRR1661163	Demczuk2015	penicillin	4	4
SRR1661163	Demczuk2015	spectinomycin	32	32
SRR1661163	Demczuk2015	tetracycline	4	4
SRR1661164	Demczuk2015	azithromycin	0.5	0.5
SRR1661164	Demczuk2015	cefixime	0.25	0.25
SRR1661164	Demczuk2015	ceftriaxone	0.125	0.125
SRR1661164	Demczuk2015	ciprofloxacin	64	64
SRR1661164	Demczuk2015	penicillin	4	4
SRR1661164	Demczuk2015	spectinomycin	32	32
SRR1661164	Demczuk2015	tetracycline	4	4
SRR1661165	Demczuk2015	azithromycin	0.25	0.25
SRR1661165	Demczuk2015	cefixime	0.032	0.032
SRR1661165	Demczuk2015	ceftriaxone	0.125	0.125
SRR1661165	Demczuk2015	ciprofloxacin	0.25	0.25
SRR1661165	Demczuk2015	penicillin	2	2
SRR1661165	Demczuk2015	spectinomycin	32	32
SRR1661165	Demczuk2015	tetracycline	2	2
SRR1661166	Demczuk2015	azithromycin	0.5	0.5
SRR1661166	Demczuk2015	cefixime	0.25	0.25
SRR1661166	Demczuk2015	ceftriaxone	0.125	0.125
SRR1661166	Demczuk2015	ciprofloxacin	16	16
SRR1661166	Demczuk2015	penicillin	4	4
SRR1661166	Demczuk2015	spectinomycin	16	16
SRR1661166	Demczuk2015	tetracycline	4	4
SRR1661167	Demczuk2015	azithromycin	2	2
SRR1661167	Demczuk2015	cefixime	0.063	0.063
SRR1661167	Demczuk2015	ceftriaxone	0.125	0.125
SRR1661167	Demczuk2015	ciprofloxacin	0.032	0.032
SRR1661167	Demczuk2015	penicillin	8	8
SRR1661167	Demczuk2015	spectinomycin	32	32
SRR1661167	Demczuk2015	tetracycline	4	4
SRR1661169	Demczuk2015	azithromycin	0.063	0.063
SRR1661169	Demczuk2015	cefixime	0.004	0.004
SRR1661169	Demczuk2015	ceftriaxone	0.002	0.002
SRR1661169	Demczuk2015	ciprofloxacin	0.004	0.004
SRR1661169	Demczuk2015	penicillin	0.063	0.063
SRR1661169	Demczuk2015	spectinomycin	16	16
SRR1661169	Demczuk2015	tetracycline	0.25	0.25
SRR1661171	Demczuk2015	azithromycin	0.063	0.063
SRR1661171	Demczuk2015	cefixime	0.004	0.004
SRR1661171	Demczuk2015	ceftriaxone	0.002	0.002
SRR1661171	Demczuk2015	ciprofloxacin	0.004	0.004
SRR1661171	Demczuk2015	penicillin	0.125	0.125
SRR1661171	Demczuk2015	spectinomycin	16	16
SRR1661171	Demczuk2015	tetracycline	0.25	0.25
SRR1661172	Demczuk2015	azithromycin	0.125	0.125
SRR1661172	Demczuk2015	cefixime	0.004	0.004
SRR1661172	Demczuk2015	ceftriaxone	0.004	0.004
SRR1661172	Demczuk2015	ciprofloxacin	0.008	0.008
SRR1661172	Demczuk2015	penicillin	0.25	0.25
SRR1661172	Demczuk2015	spectinomycin	16	16
SRR1661172	Demczuk2015	tetracycline	1	1
SRR1661173	Demczuk2015	azithromycin	0.5	0.5
SRR1661173	Demczuk2015	cefixime	0.125	0.125
SRR1661173	Demczuk2015	ceftriaxone	0.032	0.032
SRR1661173	Demczuk2015	ciprofloxacin	32	32
SRR1661173	Demczuk2015	penicillin	2	2
SRR1661173	Demczuk2015	spectinomycin	32	32
SRR1661173	Demczuk2015	tetracycline	4	4
SRR1661174	Demczuk2015	azithromycin	0.063	0.063
SRR1661174	Demczuk2015	cefixime	0.032	0.032
SRR1661174	Demczuk2015	ceftriaxone	0.032	0.032
SRR1661174	Demczuk2015	ciprofloxacin	8	8
SRR1661174	Demczuk2015	penicillin	0.5	0.5
SRR1661174	Demczuk2015	spectinomycin	16	16
SRR1661174	Demczuk2015	tetracycline	1	1
SRR1661175	Demczuk2015	azithromycin	0.5	0.5
SRR1661175	Demczuk2015	cefixime	0.125	0.125
SRR1661175	Demczuk2015	ceftriaxone	0.032	0.032
SRR1661175	Demczuk2015	ciprofloxacin	16	16
SRR1661175	Demczuk2015	penicillin	2	2
SRR1661175	Demczuk2015	spectinomycin	32	32
SRR1661175	Demczuk2015	tetracycline	4	4
SRR1661176	Demczuk2015	azithromycin	0.5	0.5
SRR1661176	Demczuk2015	cefixime	0.063	0.063
SRR1661176	Demczuk2015	ceftriaxone	0.032	0.032
SRR1661176	Demczuk2015	ciprofloxacin	16	16
SRR1661176	Demczuk2015	penicillin	1	1
SRR1661176	Demczuk2015	spectinomycin	32	32
SRR1661176	Demczuk2015	tetracycline	4	4
SRR1661177	Demczuk2015	azithromycin	0.25	0.25
SRR1661177	Demczuk2015	cefixime	0.002	0.002
SRR1661177	Demczuk2015	ceftriaxone	0.001	0.001
SRR1661177	Demczuk2015	ciprofloxacin	0.016	0.016
SRR1661177	Demczuk2015	penicillin	0.032	0.032
SRR1661177	Demczuk2015	spectinomycin	16	16
SRR1661177	Demczuk2015	tetracycline	0.25	0.25
SRR1661178	Demczuk2015	azithromycin	0.063	0.063
SRR1661178	Demczuk2015	cefixime	0.001	0.001
SRR1661178	Demczuk2015	ceftriaxone	0.0005	5e-4
SRR1661178	Demczuk2015	ciprofloxacin	0.016	0.016
SRR1661178	Demczuk2015	penicillin	0.032	0.032
SRR1661178	Demczuk2015	spectinomycin	16	16
SRR1661178	Demczuk2015	tetracycline	0.25	0.25
SRR1661179	Demczuk2015	azithromycin	0.25	0.25
SRR1661179	Demczuk2015	cefixime	0.063	0.063
SRR1661179	Demczuk2015	ceftriaxone	0.125	0.125
SRR1661179	Demczuk2015	ciprofloxacin	1	1
SRR1661179	Demczuk2015	penicillin	128	128
SRR1661179	Demczuk2015	spectinomycin	16	16
SRR1661179	Demczuk2015	tetracycline	>=128	128
SRR1661180	Demczuk2015	azithromycin	0.032	0.032
SRR1661180	Demczuk2015	cefixime	0.004	0.004
SRR1661180	Demczuk2015	ceftriaxone	0.002	0.002
SRR1661180	Demczuk2015	ciprofloxacin	0.004	0.004
SRR1661180	Demczuk2015	penicillin	0.25	0.25
